dataset,criteria,metric,model,error,detection,repair,test_repaired,fairness_impact,accuracy_impact
german,age/sex,demographic_parity,knn_classification,missing_values,,impute_median_mode,True,positive,insignificant
german,age/sex,demographic_parity,knn_classification,missing_values,,impute_median_dummy,True,insignificant,insignificant
german,age/sex,demographic_parity,knn_classification,missing_values,,impute_mode_mode,True,positive,insignificant
german,age/sex,demographic_parity,knn_classification,missing_values,,impute_mode_dummy,True,insignificant,insignificant
adult,sex/race,demographic_parity,XGBoost,missing_values,,impute_mean_mode,True,positive,insignificant
adult,sex/race,demographic_parity,XGBoost,missing_values,,impute_mean_dummy,True,insignificant,insignificant
adult,sex/race,demographic_parity,XGBoost,missing_values,,impute_median_mode,True,positive,insignificant
adult,sex/race,demographic_parity,XGBoost,missing_values,,impute_median_dummy,True,insignificant,insignificant
adult,sex/race,demographic_parity,XGBoost,missing_values,,impute_mode_mode,True,positive,insignificant
adult,sex/race,demographic_parity,XGBoost,missing_values,,impute_mode_dummy,True,insignificant,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,missing_values,,impute_mean_mode,True,negative,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,missing_values,,impute_mean_dummy,True,negative,insignificant
folktables,sex/rac1p,demographic_parity,XGBoost,missing_values,,impute_median_mode,True,negative,negative
folktables,sex/rac1p,demographic_parity,XGBoost,missing_values,,impute_median_dummy,True,negative,negative
folktables,sex/rac1p,demographic_parity,XGBoost,missing_values,,impute_mode_mode,True,negative,negative
folktables,sex/rac1p,demographic_parity,XGBoost,missing_values,,impute_mode_dummy,True,negative,negative
german,age/sex,demographic_parity,XGBoost,missing_values,,impute_mean_mode,True,insignificant,insignificant
german,age/sex,demographic_parity,XGBoost,missing_values,,impute_mean_dummy,True,positive,positive
german,age/sex,demographic_parity,XGBoost,missing_values,,impute_median_mode,True,insignificant,insignificant
german,age/sex,demographic_parity,XGBoost,missing_values,,impute_median_dummy,True,positive,positive
german,age/sex,demographic_parity,XGBoost,missing_values,,impute_mode_mode,True,insignificant,insignificant
german,age/sex,demographic_parity,XGBoost,missing_values,,impute_mode_dummy,True,positive,positive
adult,sex/race,demographic_parity,logistic_regression,mislabel,cleanlab,flip,False,negative,negative
folktables,sex/rac1p,demographic_parity,logistic_regression,mislabel,cleanlab,flip,False,negative,positive
heart,gender/age,demographic_parity,logistic_regression,mislabel,cleanlab,flip,False,negative,positive
german,age/sex,demographic_parity,logistic_regression,mislabel,cleanlab,flip,False,insignificant,positive
adult,sex/race,demographic_parity,knn_classification,mislabel,cleanlab,flip,False,negative,insignificant
folktables,sex/rac1p,demographic_parity,knn_classification,mislabel,cleanlab,flip,False,negative,positive
heart,gender/age,demographic_parity,knn_classification,mislabel,cleanlab,flip,False,negative,positive
german,age/sex,demographic_parity,knn_classification,mislabel,cleanlab,flip,False,insignificant,positive
adult,sex/race,demographic_parity,XGBoost,mislabel,cleanlab,flip,False,negative,negative
folktables,sex/rac1p,demographic_parity,XGBoost,mislabel,cleanlab,flip,False,negative,positive
heart,gender/age,demographic_parity,XGBoost,mislabel,cleanlab,flip,False,negative,negative
german,age/sex,demographic_parity,XGBoost,mislabel,cleanlab,flip,False,insignificant,positive
